PU_Borough,PU_Zone,pickup_hour,trip_count,avg_fare,avg_distance,avg_duration_min
Manhattan,Yorkville East,15,16310,14.53,2.04,13.91
Manhattan,Yorkville East,12,16233,14.03,2.05,12.46
Manhattan,Clinton East,14,16108,17.19,2.58,16.2
Manhattan,Sutton Place/Turtle Bay North,9,16059,14.9,1.8,14.56
Manhattan,Clinton East,9,16018,15.43,2.16,14.27
Manhattan,Gramercy,12,15993,16.11,2.2,16.27
Manhattan,Yorkville West,9,15990,13.39,2.08,11.63
Manhattan,Flatiron,20,15973,14.24,1.97,13.69
Manhattan,Central Park,11,15918,15.25,1.99,14.6
Manhattan,Clinton East,12,15878,16.86,2.44,15.67
Manhattan,Midtown South,23,15873,15.1,2.36,13.26
Manhattan,Sutton Place/Turtle Bay North,21,15833,13.48,2.18,11.77
Manhattan,Clinton East,10,15791,16.43,2.36,15.21
Manhattan,Clinton East,11,15775,17.08,2.49,15.9
Manhattan,West Chelsea/Hudson Yards,21,15760,16.68,2.56,15.31
Manhattan,Garment District,16,15758,18.38,2.45,19.6
Manhattan,Central Park,18,15711,14.29,1.9,13.85
Manhattan,Yorkville East,17,15594,14.13,2.05,13.49
Manhattan,Greenwich Village North,19,15579,14.04,1.85,13.8
Manhattan,West Chelsea/Hudson Yards,12,15541,17.95,2.37,17.72
Manhattan,TriBeCa/Civic Center,17,15483,19.78,3.19,20.3
Manhattan,Penn Station/Madison Sq West,6,15459,11.67,1.85,9.35
Manhattan,Sutton Place/Turtle Bay North,15,15388,15.56,1.95,15.95
Manhattan,Lower East Side,0,15370,16.07,2.61,13.79
Manhattan,Upper East Side North,22,15333,13.37,2.14,11.08
Manhattan,Lower East Side,1,15315,15.64,2.59,13.41
Manhattan,Greenwich Village North,22,15298,15.73,2.37,14.85
Manhattan,Yorkville East,8,15261,14.91,2.47,12.52
Manhattan,West Village,17,15230,14.69,1.84,14.99
Manhattan,Flatiron,16,15138,15.19,1.95,15.81
Manhattan,Clinton East,0,15051,15.2,2.59,12.27
Manhattan,Times Sq/Theatre District,8,15042,22.1,3.86,17.3
Manhattan,TriBeCa/Civic Center,19,15028,17.33,2.89,15.51
Manhattan,Greenwich Village North,17,15006,14.5,1.8,14.87
Manhattan,Gramercy,11,14995,15.72,2.16,15.81
Manhattan,Sutton Place/Turtle Bay North,16,14955,15.41,1.99,15.63
Manhattan,Gramercy,23,14933,13.91,2.18,12.27
Manhattan,Garment District,19,14773,16.06,2.18,15.9
Manhattan,Lenox Hill West,22,14684,13.15,2.08,11.19
Manhattan,Yorkville East,18,14587,13.93,2.09,12.87
Manhattan,Sutton Place/Turtle Bay North,8,14515,14.2,1.91,13.32
Manhattan,Lenox Hill West,7,14513,12.82,2.01,10.83
Manhattan,Lower East Side,23,14462,16.52,2.66,14.61
Manhattan,Midtown South,10,14448,15.78,2.14,14.8
Manhattan,Gramercy,10,14424,14.61,2.02,14.2
Manhattan,East Village,17,14415,14.98,2.04,14.86
Manhattan,Midtown East,23,14296,14.47,2.36,12.28
Manhattan,Gramercy,9,14248,13.84,1.94,12.91
